course_id,course_name,semester_range,n_semesters,avg_final_grade,total_students,avg_pass_pct,avg_general_rank,n_general_rank,hist_url,cf_url
00840213,תרמודינמיקה,201501 to 202401,11,81.288,781,96.303,3.741,27,https://michael-maltsev.github.io/technion-histograms/00840213/,https://cheesefork.cf/?course=00840213&semester=202501
00840220,מכניקת הטיס 1,201502 to 202401,10,80.510,691,92.755,4.308,13,https://michael-maltsev.github.io/technion-histograms/00840220/,https://cheesefork.cf/?course=00840220&semester=202501
00840225,דינמיקה,201402 to 202401,11,73.531,821,88.134,3.053,19,https://michael-maltsev.github.io/technion-histograms/00840225/,https://cheesefork.cf/?course=00840225&semester=202501
00840311,אוירודינמיקה בלתי דחיסה,200401 to 202402,14,71.693,928,86.978,3.786,14,https://michael-maltsev.github.io/technion-histograms/00840311/,https://cheesefork.cf/?course=00840311&semester=202502
00840312,"זרימה דחיסה, כונסים ונחירים",201502 to 202501,12,74.836,829,90.215,4.118,17,https://michael-maltsev.github.io/technion-histograms/00840312/,https://cheesefork.cf/?course=00840312&semester=202501
00840314,זרימה צמיגה ומעבר חום,201502 to 202401,10,77.541,691,94.096,3.786,14,https://michael-maltsev.github.io/technion-histograms/00840314/,https://cheesefork.cf/?course=00840314&semester=202501
00840506,מכניקת מוצקים,201702 to 202402,8,78.378,732,94.223,2.682,22,https://michael-maltsev.github.io/technion-histograms/00840506/,https://cheesefork.cf/?course=00840506&semester=202502
00840515,מבוא לתורת האלסטיות,201802 to 202402,7,84.054,542,98.524,4.071,14,https://michael-maltsev.github.io/technion-histograms/00840515/,https://cheesefork.cf/?course=00840515&semester=202502
00840630,שרטוט הנדסי ממוחשב,201802 to 202402,7,89.178,598,98.184,2.750,12,https://michael-maltsev.github.io/technion-histograms/00840630/,https://cheesefork.cf/?course=00840630&semester=202502
00840737,מערכות דינמיות,201502 to 202402,11,80.255,787,96.188,3.636,11,https://michael-maltsev.github.io/technion-histograms/00840737/,https://cheesefork.cf/?course=00840737&semester=202502
